text,label
Your flight booking details for Mumbai are attached. Safe travels!,legitimate
Confirm your subscription to avoid service interruption: http://helpdesk.example/confirm-subscription,phishing
FYI: The server maintenance window is scheduled on 24/7/2025 at 11 AM.,legitimate
Your flight booking details for Mumbai are attached. Safe travels!,legitimate
Happy birthday! Wishing you a wonderful day from the entire team.,legitimate
Meeting is scheduled at 11 AM tomorrow in conference room B2.,legitimate
A delivery attempt failed. Provide details here: http://service-check.example/delivery,phishing
Lunch at 18 PM today?,legitimate
You have won a $ 200 gift card! Claim here: http://accounts.example/claim,phishing
You have won a $ 1000 gift card! Claim here: http://verify-now.example/claim,phishing
A delivery attempt failed. Provide details here: http://securebank.example/delivery,phishing
Your invoice for order #7358 is attached. Thank you for your purchase.,legitimate
Lunch at 12 PM today?,legitimate
Can we reschedule our meeting to Monday? Thanks.,legitimate
Meeting is scheduled at 10 AM tomorrow in conference room A1.,legitimate
We detected suspicious activity. Verify your identity now: http://accounts.example/secure,phishing
Can we reschedule our meeting to Wednesday? Thanks.,legitimate
Your subscription renewal receipt for CloudMail is attached.,legitimate
FYI: The server maintenance window is scheduled on 20/1/2025 at 18 AM.,legitimate
Account verification required for Globex. Login: http://safe.example/login,phishing
Your invoice for order #2785 is attached. Thank you for your purchase.,legitimate
Monthly newsletter - product updates and tips from Apex Solutions.,legitimate
Your subscription renewal receipt for SecureDrive is attached.,legitimate
Happy birthday! Wishing you a wonderful day from the entire team.,legitimate
Your flight booking details for Kolkata are attached. Safe travels!,legitimate
Meeting is scheduled at 12 AM tomorrow in conference room A1.,legitimate
Your email storage will be closed unless you verify: http://accounts.example/restore-mail,phishing
Please find the minutes of the meeting attached from yesterday.,legitimate
Your subscription renewal receipt for SecureDrive is attached.,legitimate
A delivery attempt failed. Provide details here: http://verify-now.example/delivery,phishing
Meeting is scheduled at 18 AM tomorrow in conference room B2.,legitimate
Monthly newsletter - product updates and tips from Globex.,legitimate
Your invoice for order #3346 is attached. Thank you for your purchase.,legitimate
Lunch at 16 PM today?,legitimate
HR: Please complete the annual compliance training by 16/8/2025.,legitimate
Can we reschedule our meeting to Friday? Thanks.,legitimate
Unusual sign-in attempt detected. Confirm here: http://helpdesk.example/confirm,phishing
Monthly newsletter - product updates and tips from Apex Solutions.,legitimate
Reminder: Team standup at 13:30 today. See you there.,legitimate
Your flight booking details for Pune are attached. Safe travels!,legitimate
Your account has been suspended. Click here to verify: http://safe.example/verify,phishing
Confirm your subscription to avoid service interruption: http://safe.example/confirm-subscription,phishing
Your invoice for order #5967 is attached. Thank you for your purchase.,legitimate
Final notice: Outstanding invoice needs payment: http://accounts.example/pay,phishing
A delivery attempt failed. Provide details here: http://safe.example/delivery,phishing
HR: Please complete the annual compliance training by 23/11/2025.,legitimate
Your subscription renewal receipt for CloudMail is attached.,legitimate
Your invoice for order #4817 is attached. Thank you for your purchase.,legitimate
HR: Please complete the annual compliance training by 3/5/2025.,legitimate
Happy birthday! Wishing you a wonderful day from the entire team.,legitimate
Reminder: Team standup at 16:15 today. See you there.,legitimate
Thanks for submitting the form. We will get back to you within 2 business days.,legitimate
HR: Please complete the annual compliance training by 1/7/2025.,legitimate
Urgent: Update your payment information immediately to avoid cancellation: http://support.example/billing,phishing
FYI: The server maintenance window is scheduled on 18/11/2025 at 17 AM.,legitimate
Please review the code changes in the pull request and leave feedback.,legitimate
Happy birthday! Wishing you a wonderful day from the entire team.,legitimate
"Dear customer, confirm your bank details to receive funds: http://service-check.example/bank-verify",phishing
Your invoice for order #8585 is attached. Thank you for your purchase.,legitimate
Monthly newsletter - product updates and tips from Nimbus LLC.,legitimate
Please find the minutes of the meeting attached from yesterday.,legitimate
Security alert: Your card ending in 1745 was used. Verify transaction: http://verify-now.example/verify-transaction,phishing
Reminder: Team standup at 10:00 today. See you there.,legitimate
Can we reschedule our meeting to Wednesday? Thanks.,legitimate
Thanks for submitting the form. We will get back to you within 2 business days.,legitimate
Account verification required for Starlight Inc. Login: http://support.example/login,phishing
Reminder: Team standup at 8:45 today. See you there.,legitimate
Please find the minutes of the meeting attached from yesterday.,legitimate
Meeting is scheduled at 14 AM tomorrow in conference room A1.,legitimate
Please find the minutes of the meeting attached from yesterday.,legitimate
Confirm your subscription to avoid service interruption: http://support.example/confirm-subscription,phishing
Unusual sign-in attempt detected. Confirm here: http://notify.example/confirm,phishing
FYI: The server maintenance window is scheduled on 9/3/2025 at 18 AM.,legitimate
Lunch at 12 PM today?,legitimate
Can we reschedule our meeting to Thursday? Thanks.,legitimate
Your email storage will be closed unless you verify: http://helpdesk.example/restore-mail,phishing
Monthly newsletter - product updates and tips from Pioneer Labs.,legitimate
Your account has been suspended. Click here to verify: http://update.example/verify,phishing
FYI: The server maintenance window is scheduled on 10/5/2025 at 18 AM.,legitimate
Your subscription renewal receipt for DataStream is attached.,legitimate
Your invoice for order #6585 is attached. Thank you for your purchase.,legitimate
FYI: The server maintenance window is scheduled on 26/5/2025 at 16 AM.,legitimate
Thanks for submitting the form. We will get back to you within 2 business days.,legitimate
FYI: The server maintenance window is scheduled on 18/1/2025 at 17 AM.,legitimate
Reminder: Team standup at 13:00 today. See you there.,legitimate
Your invoice for order #1742 is attached. Thank you for your purchase.,legitimate
Your invoice for order #2879 is attached. Thank you for your purchase.,legitimate
You have won a $ 50 gift card! Claim here: http://helpdesk.example/claim,phishing
Thanks for submitting the form. We will get back to you within 2 business days.,legitimate
Your subscription renewal receipt for CloudMail is attached.,legitimate
Urgent: Update your payment information immediately to avoid cancellation: http://notify.example/billing,phishing
Can we reschedule our meeting to Wednesday? Thanks.,legitimate
Security alert: Your card ending in 6419 was used. Verify transaction: http://support.example/verify-transaction,phishing
Urgent: Update your payment information immediately to avoid cancellation: http://secure-portal.example/billing,phishing
Your account has been suspended. Click here to verify: http://secure-portal.example/verify,phishing
FYI: The server maintenance window is scheduled on 13/7/2025 at 10 AM.,legitimate
Here is the project report you requested. Please find attached the document.,legitimate
HR: Please complete the annual compliance training by 8/10/2025.,legitimate
HR: Please complete the annual compliance training by 7/9/2025.,legitimate
Happy birthday! Wishing you a wonderful day from the entire team.,legitimate
Your invoice for order #2882 is attached. Thank you for your purchase.,legitimate
Reminder: Team standup at 8:00 today. See you there.,legitimate
"Dear customer, confirm your bank details to receive funds: http://helpdesk.example/bank-verify",phishing
Here is the project report you requested. Please find attached the document.,legitimate
Security alert: Your card ending in 2876 was used. Verify transaction: http://securebank.example/verify-transaction,phishing
You have won a $ 200 gift card! Claim here: http://update.example/claim,phishing
Happy birthday! Wishing you a wonderful day from the entire team.,legitimate
Meeting is scheduled at 10 AM tomorrow in conference room C3.,legitimate
FYI: The server maintenance window is scheduled on 11/6/2025 at 17 AM.,legitimate
Monthly newsletter - product updates and tips from Pioneer Labs.,legitimate
"Dear customer, confirm your bank details to receive funds: http://securebank.example/bank-verify",phishing
Unusual sign-in attempt detected. Confirm here: http://accounts.example/confirm,phishing
FYI: The server maintenance window is scheduled on 7/6/2025 at 9 AM.,legitimate
Reset your password using this link: http://secure-portal.example/reset,phishing
HR: Please complete the annual compliance training by 16/10/2025.,legitimate
Account verification required for Pioneer Labs. Login: http://update.example/login,phishing
Your flight booking details for Chennai are attached. Safe travels!,legitimate
Your account has been suspended. Click here to verify: http://accounts.example/verify,phishing
Your email storage will be closed unless you verify: http://update.example/restore-mail,phishing
Unusual sign-in attempt detected. Confirm here: http://verify-now.example/confirm,phishing
Reset your password using this link: http://securebank.example/reset,phishing
Your account has been suspended. Click here to verify: http://helpdesk.example/verify,phishing
Meeting is scheduled at 13 AM tomorrow in conference room D4.,legitimate
HR: Please complete the annual compliance training by 22/9/2025.,legitimate
Monthly newsletter - product updates and tips from Apex Solutions.,legitimate
Lunch at 8 PM today?,legitimate
Security alert: Your card ending in 4697 was used. Verify transaction: http://update.example/verify-transaction,phishing
Lunch at 9 PM today?,legitimate
Urgent: Update your payment information immediately to avoid cancellation: http://securebank.example/billing,phishing
Meeting is scheduled at 9 AM tomorrow in conference room A1.,legitimate
Meeting is scheduled at 16 AM tomorrow in conference room B2.,legitimate
Can we reschedule our meeting to Friday? Thanks.,legitimate
Please review the code changes in the pull request and leave feedback.,legitimate
HR: Please complete the annual compliance training by 20/1/2025.,legitimate
Reminder: Team standup at 8:30 today. See you there.,legitimate
Lunch at 17 PM today?,legitimate
Meeting is scheduled at 10 AM tomorrow in conference room B2.,legitimate
Urgent: Update your payment information immediately to avoid cancellation: http://helpdesk.example/billing,phishing
Reminder: Team standup at 18:30 today. See you there.,legitimate
Your subscription renewal receipt for CloudMail is attached.,legitimate
Security alert: Your card ending in 3068 was used. Verify transaction: http://notify.example/verify-transaction,phishing
Monthly newsletter - product updates and tips from Acme Corp.,legitimate
"Action required: Your mailbox has exceeded storage, click here to restore: http://support.example/restore",phishing
Lunch at 16 PM today?,legitimate
Monthly newsletter - product updates and tips from Starlight Inc.,legitimate
Happy birthday! Wishing you a wonderful day from the entire team.,legitimate
Security alert: Your card ending in 8744 was used. Verify transaction: http://verify-now.example/verify-transaction,phishing
Reminder: Team standup at 16:30 today. See you there.,legitimate
"Action required: Your mailbox has exceeded storage, click here to restore: http://securebank.example/restore",phishing
Important: Verify your tax refund details: http://service-check.example/tax-refund,phishing
Lunch at 12 PM today?,legitimate
Meeting is scheduled at 13 AM tomorrow in conference room C3.,legitimate
You have won a $ 100 gift card! Claim here: http://notify.example/claim,phishing
Your flight booking details for Pune are attached. Safe travels!,legitimate
Reminder: Team standup at 14:15 today. See you there.,legitimate
FYI: The server maintenance window is scheduled on 5/8/2025 at 10 AM.,legitimate
FYI: The server maintenance window is scheduled on 26/4/2025 at 17 AM.,legitimate
Reminder: Team standup at 14:45 today. See you there.,legitimate
Account verification required for Nimbus LLC. Login: http://accounts.example/login,phishing
Your invoice for order #5896 is attached. Thank you for your purchase.,legitimate
Final notice: Outstanding invoice needs payment: http://secure-portal.example/pay,phishing
You have won a $ 50 gift card! Claim here: http://securebank.example/claim,phishing
Account verification required for Apex Solutions. Login: http://secure-portal.example/login,phishing
FYI: The server maintenance window is scheduled on 26/12/2025 at 12 AM.,legitimate
Your invoice for order #6934 is attached. Thank you for your purchase.,legitimate
Can we reschedule our meeting to Thursday? Thanks.,legitimate
Lunch at 11 PM today?,legitimate
Reminder: Team standup at 10:45 today. See you there.,legitimate
Can we reschedule our meeting to Tuesday? Thanks.,legitimate
HR: Please complete the annual compliance training by 17/2/2025.,legitimate
Here is the project report you requested. Please find attached the document.,legitimate
Your email storage will be closed unless you verify: http://service-check.example/restore-mail,phishing
Happy birthday! Wishing you a wonderful day from the entire team.,legitimate
Confirm your subscription to avoid service interruption: http://verify-now.example/confirm-subscription,phishing
HR: Please complete the annual compliance training by 27/11/2025.,legitimate
Here is the project report you requested. Please find attached the document.,legitimate
Lunch at 17 PM today?,legitimate
HR: Please complete the annual compliance training by 11/4/2025.,legitimate
Account verification required for Nimbus LLC. Login: http://secure-portal.example/login,phishing
Your subscription renewal receipt for DataStream is attached.,legitimate
Please find the minutes of the meeting attached from yesterday.,legitimate
Important: Verify your tax refund details: http://notify.example/tax-refund,phishing
HR: Please complete the annual compliance training by 16/4/2025.,legitimate
Here is the project report you requested. Please find attached the document.,legitimate
Unusual sign-in attempt detected. Confirm here: http://support.example/confirm,phishing
Your invoice for order #7438 is attached. Thank you for your purchase.,legitimate
Happy birthday! Wishing you a wonderful day from the entire team.,legitimate
Security alert: Your card ending in 8066 was used. Verify transaction: http://service-check.example/verify-transaction,phishing
Happy birthday! Wishing you a wonderful day from the entire team.,legitimate
Account verification required for Globex. Login: http://secure-portal.example/login,phishing
FYI: The server maintenance window is scheduled on 19/10/2025 at 17 AM.,legitimate
Security alert: Your card ending in 6718 was used. Verify transaction: http://notify.example/verify-transaction,phishing
Meeting is scheduled at 18 AM tomorrow in conference room B2.,legitimate
Your account has been suspended. Click here to verify: http://notify.example/verify,phishing
Final notice: Outstanding invoice needs payment: http://verify-now.example/pay,phishing
Can we reschedule our meeting to Monday? Thanks.,legitimate
Reminder: Team standup at 10:30 today. See you there.,legitimate
Urgent: Update your payment information immediately to avoid cancellation: http://service-check.example/billing,phishing
Please review the code changes in the pull request and leave feedback.,legitimate
FYI: The server maintenance window is scheduled on 6/3/2025 at 16 AM.,legitimate
FYI: The server maintenance window is scheduled on 23/4/2025 at 14 AM.,legitimate
Account verification required for Acme Corp. Login: http://secure-portal.example/login,phishing
Meeting is scheduled at 17 AM tomorrow in conference room A1.,legitimate
Meeting is scheduled at 18 AM tomorrow in conference room B2.,legitimate
Here is the project report you requested. Please find attached the document.,legitimate
Your invoice for order #7941 is attached. Thank you for your purchase.,legitimate
Security alert: Your card ending in 2020 was used. Verify transaction: http://safe.example/verify-transaction,phishing
HR: Please complete the annual compliance training by 11/9/2025.,legitimate
Your invoice for order #7274 is attached. Thank you for your purchase.,legitimate
Your subscription renewal receipt for DataStream is attached.,legitimate
Monthly newsletter - product updates and tips from Apex Solutions.,legitimate
Lunch at 13 PM today?,legitimate
You have won a $ 1000 gift card! Claim here: http://helpdesk.example/claim,phishing
Monthly newsletter - product updates and tips from Apex Solutions.,legitimate
Reset your password using this link: http://accounts.example/reset,phishing
Your flight booking details for Kolkata are attached. Safe travels!,legitimate
Thanks for submitting the form. We will get back to you within 2 business days.,legitimate
"Dear customer, confirm your bank details to receive funds: http://secure-portal.example/bank-verify",phishing
Your subscription renewal receipt for CloudMail is attached.,legitimate
Monthly newsletter - product updates and tips from Globex.,legitimate
HR: Please complete the annual compliance training by 18/4/2025.,legitimate
Your subscription renewal receipt for DataStream is attached.,legitimate
Meeting is scheduled at 16 AM tomorrow in conference room A1.,legitimate
HR: Please complete the annual compliance training by 21/6/2025.,legitimate
We detected suspicious activity. Verify your identity now: http://securebank.example/secure,phishing
Lunch at 10 PM today?,legitimate
FYI: The server maintenance window is scheduled on 27/8/2025 at 9 AM.,legitimate
A delivery attempt failed. Provide details here: http://support.example/delivery,phishing
"Action required: Your mailbox has exceeded storage, click here to restore: http://service-check.example/restore",phishing
Security alert: Your card ending in 9320 was used. Verify transaction: http://verify-now.example/verify-transaction,phishing
Can we reschedule our meeting to Wednesday? Thanks.,legitimate
You have won a $ 500 gift card! Claim here: http://secure-portal.example/claim,phishing
Your subscription renewal receipt for CloudMail is attached.,legitimate
Reset your password using this link: http://safe.example/reset,phishing
Monthly newsletter - product updates and tips from Apex Solutions.,legitimate
Here is the project report you requested. Please find attached the document.,legitimate
Lunch at 10 PM today?,legitimate
Meeting is scheduled at 14 AM tomorrow in conference room D4.,legitimate
Your email storage will be closed unless you verify: http://securebank.example/restore-mail,phishing
Lunch at 13 PM today?,legitimate
We detected suspicious activity. Verify your identity now: http://safe.example/secure,phishing
Reset your password using this link: http://support.example/reset,phishing
Monthly newsletter - product updates and tips from Innotech.,legitimate
Important: Verify your tax refund details: http://accounts.example/tax-refund,phishing
Urgent: Update your payment information immediately to avoid cancellation: http://verify-now.example/billing,phishing
We detected suspicious activity. Verify your identity now: http://update.example/secure,phishing
Please find the minutes of the meeting attached from yesterday.,legitimate
FYI: The server maintenance window is scheduled on 25/5/2025 at 15 AM.,legitimate
Reminder: Team standup at 8:30 today. See you there.,legitimate
Thanks for submitting the form. We will get back to you within 2 business days.,legitimate
Your subscription renewal receipt for SecureDrive is attached.,legitimate
Please find the minutes of the meeting attached from yesterday.,legitimate
HR: Please complete the annual compliance training by 26/3/2025.,legitimate
HR: Please complete the annual compliance training by 13/10/2025.,legitimate
HR: Please complete the annual compliance training by 4/8/2025.,legitimate
Reminder: Team standup at 8:15 today. See you there.,legitimate
Can we reschedule our meeting to Monday? Thanks.,legitimate
FYI: The server maintenance window is scheduled on 27/4/2025 at 15 AM.,legitimate
Here is the project report you requested. Please find attached the document.,legitimate
Your subscription renewal receipt for SecureDrive is attached.,legitimate
Lunch at 9 PM today?,legitimate
Happy birthday! Wishing you a wonderful day from the entire team.,legitimate
HR: Please complete the annual compliance training by 16/1/2025.,legitimate
Meeting is scheduled at 18 AM tomorrow in conference room D4.,legitimate
Monthly newsletter - product updates and tips from Nimbus LLC.,legitimate
You have won a $ 200 gift card! Claim here: http://support.example/claim,phishing
Security alert: Your card ending in 2530 was used. Verify transaction: http://helpdesk.example/verify-transaction,phishing
Confirm your subscription to avoid service interruption: http://service-check.example/confirm-subscription,phishing
"Dear customer, confirm your bank details to receive funds: http://support.example/bank-verify",phishing
HR: Please complete the annual compliance training by 9/1/2025.,legitimate
Meeting is scheduled at 17 AM tomorrow in conference room C3.,legitimate
Happy birthday! Wishing you a wonderful day from the entire team.,legitimate
Final notice: Outstanding invoice needs payment: http://safe.example/pay,phishing
Your email storage will be closed unless you verify: http://safe.example/restore-mail,phishing
Important: Verify your tax refund details: http://securebank.example/tax-refund,phishing
Confirm your subscription to avoid service interruption: http://secure-portal.example/confirm-subscription,phishing
You have won a $ 1500 gift card! Claim here: http://notify.example/claim,phishing
We detected suspicious activity. Verify your identity now: http://notify.example/secure,phishing
Account verification required for Globex. Login: http://update.example/login,phishing
Your invoice for order #4951 is attached. Thank you for your purchase.,legitimate
Security alert: Your card ending in 4470 was used. Verify transaction: http://helpdesk.example/verify-transaction,phishing
Monthly newsletter - product updates and tips from Nimbus LLC.,legitimate
Reminder: Team standup at 15:30 today. See you there.,legitimate
HR: Please complete the annual compliance training by 7/8/2025.,legitimate
Thanks for submitting the form. We will get back to you within 2 business days.,legitimate
Please find the minutes of the meeting attached from yesterday.,legitimate
"Dear customer, confirm your bank details to receive funds: http://accounts.example/bank-verify",phishing
Can we reschedule our meeting to Wednesday? Thanks.,legitimate
Your flight booking details for Kolkata are attached. Safe travels!,legitimate
Thanks for submitting the form. We will get back to you within 2 business days.,legitimate
Your account has been suspended. Click here to verify: http://service-check.example/verify,phishing
Meeting is scheduled at 18 AM tomorrow in conference room A1.,legitimate
FYI: The server maintenance window is scheduled on 6/11/2025 at 13 AM.,legitimate
Meeting is scheduled at 10 AM tomorrow in conference room D4.,legitimate
Happy birthday! Wishing you a wonderful day from the entire team.,legitimate
Meeting is scheduled at 17 AM tomorrow in conference room B2.,legitimate
Monthly newsletter - product updates and tips from Innotech.,legitimate
Thanks for submitting the form. We will get back to you within 2 business days.,legitimate
You have won a $ 1500 gift card! Claim here: http://verify-now.example/claim,phishing
Lunch at 15 PM today?,legitimate
"Dear customer, confirm your bank details to receive funds: http://notify.example/bank-verify",phishing
You have won a $ 1500 gift card! Claim here: http://accounts.example/claim,phishing
Your invoice for order #9369 is attached. Thank you for your purchase.,legitimate
FYI: The server maintenance window is scheduled on 15/1/2025 at 12 AM.,legitimate
You have won a $ 1500 gift card! Claim here: http://update.example/claim,phishing
You have won a $ 1000 gift card! Claim here: http://safe.example/claim,phishing
Your invoice for order #8430 is attached. Thank you for your purchase.,legitimate
Thanks for submitting the form. We will get back to you within 2 business days.,legitimate
Your subscription renewal receipt for SecureDrive is attached.,legitimate
Reminder: Team standup at 18:30 today. See you there.,legitimate
A delivery attempt failed. Provide details here: http://update.example/delivery,phishing
Please review the code changes in the pull request and leave feedback.,legitimate
Confirm your subscription to avoid service interruption: http://notify.example/confirm-subscription,phishing
Reminder: Team standup at 15:00 today. See you there.,legitimate
You have won a $ 50 gift card! Claim here: http://accounts.example/claim,phishing
HR: Please complete the annual compliance training by 24/8/2025.,legitimate
Please find the minutes of the meeting attached from yesterday.,legitimate
Meeting is scheduled at 15 AM tomorrow in conference room B2.,legitimate
Please find the minutes of the meeting attached from yesterday.,legitimate
We detected suspicious activity. Verify your identity now: http://service-check.example/secure,phishing
"Dear customer, confirm your bank details to receive funds: http://update.example/bank-verify",phishing
You have won a $ 1000 gift card! Claim here: http://notify.example/claim,phishing
Lunch at 12 PM today?,legitimate
HR: Please complete the annual compliance training by 17/9/2025.,legitimate
FYI: The server maintenance window is scheduled on 8/3/2025 at 15 AM.,legitimate
Confirm your subscription to avoid service interruption: http://update.example/confirm-subscription,phishing
Thanks for submitting the form. We will get back to you within 2 business days.,legitimate
HR: Please complete the annual compliance training by 20/7/2025.,legitimate
Security alert: Your card ending in 8253 was used. Verify transaction: http://update.example/verify-transaction,phishing
Lunch at 10 PM today?,legitimate
Account verification required for Innotech. Login: http://safe.example/login,phishing
Account verification required for Pioneer Labs. Login: http://helpdesk.example/login,phishing
Account verification required for Globex. Login: http://accounts.example/login,phishing
You have won a $ 200 gift card! Claim here: http://service-check.example/claim,phishing
HR: Please complete the annual compliance training by 5/3/2025.,legitimate
Please review the code changes in the pull request and leave feedback.,legitimate
Reset your password using this link: http://helpdesk.example/reset,phishing
